Geneid	Chr	Start	End	Strand	Length
gene-LOC116416022	NC_045757.1	1091373	1094436	-	3064
gene-LOC100121390	NC_045757.1	1094138	1101040	+	6903
gene-LOC100679908	NC_045757.1	1101846	1106796	-	4951
gene-LOC100116016	NC_045757.1	1109615	1113215	-	3601
gene-LOC100121426	NC_045757.1	1111135	1114353	+	3219
gene-LOC103315525	NC_045757.1	1114483	1115676	+	1194
gene-LOC100121445	NC_045757.1	1115802	1119683	-	3882
gene-LOC100121464	NC_045757.1	1119749	1122286	+	2538
gene-LOC100121482	NC_045757.1	1122226	1128589	-	6364
gene-LOC107980927	NC_045757.1	1128690	1130331	-	1642
gene-LOC100121500	NC_045757.1	1129573	1131659	+	2087
gene-LOC100121517	NC_045757.1	1130975	1135059	-	4085
gene-LOC100680201	NC_045757.1	1133940	1134697	-	758
gene-LOC100116055	NC_045757.1	1135153	1139824	+	4672
gene-LOC100121538	NC_045757.1	1140819	1144632	+	3814
gene-LOC100116095	NC_045757.1	1145883	1147729	-	1847
gene-LOC100116133	NC_045757.1	1145883	1147427	-	1545
gene-LOC100121554	NC_045757.1	1148001	1149588	+	1588
gene-LOC100678442	NC_045757.1	1149279	1152397	-	3119
gene-LOC100121591	NC_045757.1	1152539	1155067	-	2529
gene-LOC100121645	NC_045757.1	1156608	1173014	-	16407
gene-LOC100680502	NC_045757.1	1161499	1164063	-	2565
gene-LOC107982208	NC_045757.1	1174221	1179812	-	5592
gene-LOC100121664	NC_045757.1	1174624	1188528	+	13905
gene-LOC100677812	NC_045757.1	1188707	1189736	+	1030
gene-LOC100121696	NC_045757.1	1189864	1191261	+	1398
gene-LOC100121713	NC_045757.1	1190846	1195108	-	4263
gene-LOC100121730	NC_045757.1	1195157	1196457	+	1301
gene-LOC100121751	NC_045757.1	1196553	1209668	-	13116
gene-LOC103315476	NC_045757.1	1203867	1205106	+	1240
gene-LOC100116165	NC_045757.1	1211755	1220041	-	8287
gene-LOC100121770	NC_045757.1	1212561	1226021	+	13461
gene-LOC100121788	NC_045757.1	1226564	1237276	-	10713
gene-LOC100121806	NC_045757.1	1237966	1246068	-	8103
gene-LOC116415950	NC_045757.1	1242801	1244263	-	1463
gene-LOC100121842	NC_045757.1	1246271	1249439	+	3169
gene-LOC100121859	NC_045757.1	1249438	1255102	-	5665
gene-LOC100121873	NC_045757.1	1255369	1257435	-	2067
gene-LOC100121887	NC_045757.1	1258104	1261955	+	3852
gene-LOC100121906	NC_045757.1	1262700	1270926	-	8227
gene-LOC100121920	NC_045757.1	1271062	1274021	+	2960
gene-LOC100678569	NC_045757.1	1273910	1277290	-	3381
gene-LOC100121937	NC_045757.1	1277556	1282084	-	4529
gene-Or230	NC_045757.1	1282741	1284761	-	2021
gene-LOC100121973	NC_045757.1	1284886	1286630	-	1745
gene-LOC103315479	NC_045757.1	1286742	1289612	+	2871
gene-LOC103315526	NC_045757.1	1289678	1295312	+	5635
gene-LOC100122037	NC_045757.1	1295407	1583304	-	287898
gene-LOC116415949	NC_045757.1	1331162	1375454	-	44293
gene-LOC107982147	NC_045757.1	1338426	1340178	+	1753
gene-TRNAK-CUU	NC_045757.1	1412887	1412959	+	73
gene-LOC107982150	NC_045757.1	1425426	1426207	-	782
gene-LOC107982148	NC_045757.1	1434229	1435063	-	835
gene-LOC107982125	NC_045757.1	1436093	1437931	+	1839
gene-LOC107982130	NC_045757.1	1461734	1464749	+	3016
gene-LOC116415948	NC_045757.1	1527206	1533727	-	6522
gene-LOC100122067	NC_045757.1	1583492	1585728	+	2237
gene-LOC100122201	NC_045757.1	1586404	1699557	+	113154
gene-LOC107982146	NC_045757.1	1622297	1623117	+	821
gene-LOC103315480	NC_045757.1	1624730	1641936	-	17207
gene-LOC100122183	NC_045757.1	1666362	1667375	+	1014
gene-LOC107982118	NC_045757.1	1680075	1684279	-	4205
gene-LOC107982143	NC_045757.1	1688184	1689433	-	1250
gene-LOC107982092	NC_045757.1	1700363	1703116	+	2754
gene-LOC107982137	NC_045757.1	1702980	1705011	+	2032
gene-LOC107982088	NC_045757.1	1707224	1709250	+	2027
gene-LOC100678640	NC_045757.1	1711533	1719986	+	8454
gene-LOC100122284	NC_045757.1	1720938	1723575	-	2638
gene-LOC103315482	NC_045757.1	1723390	1726816	+	3427
gene-LOC103315481	NC_045757.1	1726813	1729125	-	2313
gene-LOC116415957	NC_045757.1	1729826	1733421	+	3596
gene-LOC100678950	NC_045757.1	1733929	1738900	-	4972
gene-LOC100122365	NC_045757.1	1736875	1747312	-	10438
gene-LOC100122381	NC_045757.1	1747404	1752812	+	5409
gene-LOC116415956	NC_045757.1	1752796	1758821	-	6026
gene-Or5	NC_045757.1	1759074	1760895	-	1822
gene-Or196	NC_045757.1	1761960	1763723	-	1764
gene-LOC116415958	NC_045757.1	1763887	1770796	+	6910
gene-Or195	NC_045757.1	1768080	1770006	-	1927
gene-Or194	NC_045757.1	1770404	1772654	-	2251
gene-Or193	NC_045757.1	1773109	1780497	-	7389
gene-LOC107982207	NC_045757.1	1774518	1779513	+	4996
gene-LOC100122517	NC_045757.1	1796022	1816849	-	20828
gene-LOC100679126	NC_045757.1	1818468	1823441	+	4974
gene-LOC100122545	NC_045757.1	1824847	1832085	+	7239
gene-LOC100116238	NC_045757.1	1832165	1841392	-	9228
gene-LOC100122554	NC_045757.1	1841448	1842741	+	1294
gene-LOC100116270	NC_045757.1	1842668	1845588	-	2921
gene-LOC103315486	NC_045757.1	1846806	1849276	-	2471
gene-Gr42	NC_045757.1	1853533	1854965	-	1433
gene-Gr41	NC_045757.1	1855393	1856838	-	1446
gene-LOC100122650	NC_045757.1	1858594	1874600	+	16007
gene-LOC100122663	NC_045757.1	1881065	1965144	+	84080
gene-LOC100122706	NC_045757.1	1963897	1970220	-	6324
gene-LOC100122716	NC_045757.1	1971907	2134445	-	162539
gene-LOC100679371	NC_045757.1	2003137	2005621	+	2485
gene-LOC116738473	NC_045757.1	2058854	2061698	+	2845
gene-LOC103315487	NC_045757.1	2110393	2112442	+	2050
gene-LOC100122747	NC_045757.1	2137806	2186804	-	48999
gene-TRNAS-CGA	NC_045757.1	2187001	2187082	+	82
gene-LOC100122756	NC_045757.1	2188036	2190535	-	2500
gene-LOC100679041	NC_045757.1	2190486	2192050	+	1565
gene-LOC103315488	NC_045757.1	2193044	2194065	+	1022
gene-LOC100122772	NC_045757.1	2194314	2201787	+	7474
gene-LOC100122783	NC_045757.1	2201898	2203787	-	1890
gene-LOC100116309	NC_045757.1	2203776	2205684	+	1909
gene-LOC100122792	NC_045757.1	2206937	2217587	-	10651
gene-LOC103315529	NC_045757.1	2218438	2220368	+	1931
gene-LOC100116387	NC_045757.1	2220537	2220947	-	411
gene-LOC100122816	NC_045757.1	2221003	2221615	+	613
gene-LOC100122841	NC_045757.1	2221994	2223646	+	1653
gene-LOC100122829	NC_045757.1	2222173	2223768	-	1596
gene-LOC100122852	NC_045757.1	2223703	2225858	+	2156
gene-LOC100122860	NC_045757.1	2226079	2227711	+	1633
gene-LOC100122874	NC_045757.1	2227719	2229902	-	2184
gene-LOC100116349	NC_045757.1	2229210	2231395	+	2186
gene-Dctn2	NC_045757.1	2231549	2234478	+	2930
gene-LOC116415964	NC_045757.1	2234149	2236887	-	2739
gene-LOC100122907	NC_045757.1	2236895	2242026	+	5132
gene-LOC100122916	NC_045757.1	2242218	2250621	-	8404
gene-LOC100122934	NC_045757.1	2251597	2254317	-	2721
gene-LOC100122946	NC_045757.1	2254353	2257655	+	3303
gene-LOC100122956	NC_045757.1	2257813	2262308	+	4496
gene-LOC100122966	NC_045757.1	2260840	2261907	+	1068
gene-LOC100680187	NC_045757.1	2263931	2266400	-	2470
gene-SP133	NC_045757.1	2266499	2267726	-	1228
gene-LOC100123002	NC_045757.1	2269956	2275004	+	5049
gene-LOC103315492	NC_045757.1	2276025	2278628	-	2604
gene-LOC103315491	NC_045757.1	2279018	2281986	-	2969
gene-LOC100123036	NC_045757.1	2282093	2287441	+	5349
gene-CYP4AB17	NC_045757.1	2287342	2290200	-	2859
gene-LOC103315490	NC_045757.1	2290938	2291448	-	511
gene-LOC107980521	NC_045757.1	2291474	2293492	+	2019
gene-LOC100116453	NC_045757.1	2292411	2293626	-	1216
gene-LOC100116419	NC_045757.1	2293026	2293436	+	411
gene-LOC100123069	NC_045757.1	2294162	2294980	-	819
gene-LOC100680335	NC_045757.1	2296078	2298609	+	2532
gene-Tmtc4	NC_045757.1	2298381	2301252	-	2872
gene-Cyc1l	NC_045757.1	2301631	2303216	-	1586
gene-LOC100680373	NC_045757.1	2303792	2304599	+	808
gene-LOC100680410	NC_045757.1	2306026	2308029	-	2004
gene-LOC100123092	NC_045757.1	2309394	2316089	+	6696
gene-LOC116738707	NC_045757.1	2311581	2312084	-	504
gene-LOC116416020	NC_045757.1	2313337	2315433	+	2097
gene-LOC116738706	NC_045757.1	2315279	2316366	-	1088
gene-LOC100123101	NC_045757.1	2315723	2322561	+	6839
gene-LOC100123111	NC_045757.1	2322845	2326092	+	3248
gene-LOC100123119	NC_045757.1	2326216	2329094	+	2879
gene-LOC100123128	NC_045757.1	2330363	2349393	-	19031
gene-LOC100123137	NC_045757.1	2335508	2337639	+	2132
gene-LOC100677905	NC_045757.1	2338385	2394789	+	56405
gene-LOC100677840	NC_045757.1	2349190	2350494	+	1305
gene-LOC116416019	NC_045757.1	2363713	2366779	+	3067
gene-LOC107980893	NC_045757.1	2378944	2380676	-	1733
gene-TRNAP-UGG	NC_045757.1	2421245	2421316	+	72
gene-TRNAP-AGG	NC_045757.1	2430388	2430459	+	72
gene-TRNAP-CGG	NC_045757.1	2431142	2431213	-	72
gene-TRNAP-UGG-2	NC_045757.1	2432136	2432207	-	72
gene-TRNAP-UGG-3	NC_045757.1	2432732	2432803	-	72
gene-TRNAP-UGG-4	NC_045757.1	2437099	2437170	+	72
gene-LOC100123205	NC_045757.1	2437283	2441815	-	4533
gene-LOC100123215	NC_045757.1	2443464	2478995	-	35532
gene-LOC103315530	NC_045757.1	2448208	2450171	-	1964
gene-LOC116415960	NC_045757.1	2467450	2468656	+	1207
gene-LOC116415959	NC_045757.1	2468549	2470250	+	1702
gene-LOC100123249	NC_045757.1	2471317	2474368	+	3052
gene-Or217	NC_045757.1	2474608	2477230	+	2623
gene-LOC100123263	NC_045757.1	2479021	2481645	+	2625
gene-LOC100116488	NC_045757.1	2480971	2484272	-	3302
gene-LOC100116524	NC_045757.1	2484377	2487996	+	3620
gene-LOC100123283	NC_045757.1	2488078	2490987	+	2910
gene-LOC100123290	NC_045757.1	2491798	2494668	+	2871
gene-LOC100123298	NC_045757.1	2495863	2507346	+	11484
gene-LOC100123305	NC_045757.1	2505651	2521399	-	15749
gene-LOC107980859	NC_045757.1	2520403	2540063	+	19661
gene-LOC100679661	NC_045757.1	2529041	2591202	-	62162
gene-LOC103315494	NC_045757.1	2563993	2564972	+	980
gene-LOC100678275	NC_045757.1	2566538	2567818	+	1281
gene-LOC100678392	NC_045757.1	2570677	2573237	-	2561
gene-LOC107980851	NC_045757.1	2572625	2573847	+	1223
gene-LOC100123346	NC_045757.1	2574621	2576216	+	1596
gene-LOC100678213	NC_045757.1	2576760	2578423	+	1664
gene-LOC107980855	NC_045757.1	2584749	2585679	+	931
gene-LOC107980835	NC_045757.1	2587054	2588214	+	1161
gene-LOC116415992	NC_045757.1	2598214	2599052	+	839
gene-LOC100678334	NC_045757.1	2599067	2599970	+	904
gene-LOC100123365	NC_045757.1	2623849	2627330	-	3482
gene-LOC100123371	NC_045757.1	2628370	2631286	+	2917
gene-LOC100123392	NC_045757.1	2689536	2692319	+	2784
gene-LOC100679760	NC_045757.1	2692342	2695170	-	2829
gene-LOC100678483	NC_045757.1	2695913	2697322	+	1410
gene-LOC100678522	NC_045757.1	2697565	2698597	+	1033
gene-LOC100123406	NC_045757.1	2700926	2702170	+	1245
gene-LOC100123412	NC_045757.1	2702295	2706321	+	4027
gene-LOC100678596	NC_045757.1	2705107	2707565	+	2459
gene-LOC100123432	NC_045757.1	2709716	2710985	+	1270
gene-SP135	NC_045757.1	2711099	2712390	-	1292
gene-LOC100123439	NC_045757.1	2712965	2713974	-	1010
gene-LOC100678764	NC_045757.1	2718028	2720896	-	2869
gene-LOC100123454	NC_045757.1	2721078	2723452	-	2375
gene-LOC100123461	NC_045757.1	2723712	2727502	-	3791
gene-LOC103315495	NC_045757.1	2727589	2729021	+	1433
gene-Or233	NC_045757.1	2734642	2736841	-	2200
gene-LOC116415988	NC_045757.1	2736983	2746022	+	9040
gene-Or232	NC_045757.1	2737200	2739503	-	2304
gene-LOC116415989	NC_045757.1	2738725	2741202	+	2478
gene-Or140	NC_045757.1	2742504	2744712	-	2209
gene-LOC100123496	NC_045757.1	2745281	2749504	-	4224
gene-LOC100123502	NC_045757.1	2749526	2758590	+	9065
gene-LOC100116700	NC_045757.1	2758869	2760203	-	1335
gene-LOC100123514	NC_045757.1	2760088	2762935	+	2848
gene-LOC100123521	NC_045757.1	2764580	2770099	+	5520
gene-LOC100123528	NC_045757.1	2770327	2770824	-	498
gene-LOC100116743	NC_045757.1	2770984	2771466	+	483
gene-LOC103315496	NC_045757.1	2773843	2774628	+	786
gene-LOC116415983	NC_045757.1	2775397	2775923	-	527
gene-LOC116415987	NC_045757.1	2776085	2776501	+	417
gene-LOC100679057	NC_045757.1	2777759	2779445	+	1687
gene-LOC116415982	NC_045757.1	2779739	2780539	-	801
gene-LOC107981716	NC_045757.1	2781214	2781687	+	474
gene-LOC100119987	NC_045757.1	2782591	2783098	-	508
gene-LOC116415985	NC_045757.1	2783239	2783726	+	488
gene-LOC103316980	NC_045757.1	2783913	2785915	-	2003
gene-LOC116415986	NC_045757.1	2785994	2786409	-	416
gene-LOC116415984	NC_045757.1	2786575	2787177	+	603
gene-LOC100123550	NC_045757.1	2798454	2799998	-	1545
gene-LOC100679166	NC_045757.1	2800089	2802925	-	2837
gene-LOC100123563	NC_045757.1	2803083	2809036	+	5954
gene-LOC100123571	NC_045757.1	2808898	2811334	-	2437
gene-LOC100123578	NC_045757.1	2811403	2826176	-	14774
gene-LOC100123582	NC_045757.1	2814788	2818543	-	3756
gene-LOC100188901	NC_045757.1	2819197	2821919	-	2723
gene-LOC100117928	NC_045757.1	2827061	2829348	-	2288
gene-LOC100117890	NC_045757.1	2829993	2835585	-	5593
gene-LOC100116775	NC_045757.1	2835667	2839310	+	3644
gene-LOC116415678	NC_045757.1	2838278	2839308	+	1031
gene-Or236	NC_045757.1	2839662	2842663	+	3002
gene-LOC100123602	NC_045757.1	2842508	2849799	-	7292
gene-LOC100123609	NC_045757.1	2851999	2857331	+	5333
gene-LOC100123615	NC_045757.1	2857494	2862114	-	4621
gene-LOC100123620	NC_045757.1	2861964	2865335	+	3372
gene-LOC100123625	NC_045757.1	2864733	2872998	-	8266
gene-LOC100123629	NC_045757.1	2873349	2877226	-	3878
gene-LOC100123636	NC_045757.1	2877645	2881511	-	3867
gene-LOC100116803	NC_045757.1	2881284	2895322	+	14039
gene-LOC116415965	NC_045757.1	2886156	2890656	-	4501
gene-LOC100679794	NC_045757.1	2895588	2898079	+	2492
gene-LOC100123641	NC_045757.1	2898169	2899963	+	1795
gene-LOC100680084	NC_045757.1	2899948	2904048	-	4101
gene-TRNAR-UCU	NC_045757.1	2905912	2905984	+	73
gene-LOC100123645	NC_045757.1	2906597	2918389	+	11793
gene-WRNexo	NC_045757.1	2918412	2921543	-	3132
gene-LOC100123648	NC_045757.1	2918412	2921318	-	2907
gene-LOC103315500	NC_045757.1	2925837	2935983	+	10147
gene-LOC100123657	NC_045757.1	2926924	2933702	-	6779
gene-LOC100123664	NC_045757.1	2937393	2941562	+	4170
gene-LOC100123667	NC_045757.1	2941765	2943776	+	2012
gene-LOC100123671	NC_045757.1	2943106	2949403	-	6298
gene-LOC100123673	NC_045757.1	2949722	2951844	-	2123
gene-LOC100123675	NC_045757.1	2952805	2958767	-	5963
gene-LOC100123677	NC_045757.1	2958903	2961043	+	2141
gene-LOC100678718	NC_045757.1	2960710	2965020	-	4311
gene-LOC103315501	NC_045757.1	2965261	2967262	-	2002
gene-LOC100680186	NC_045757.1	2967857	2970306	+	2450
gene-LOC100680037	NC_045757.1	2971235	2972195	+	961
gene-LOC100123687	NC_045757.1	2972279	2986363	-	14085
gene-LOC100116838	NC_045757.1	2974650	2976546	+	1897
gene-LOC100123707	NC_045757.1	2987209	3065533	+	78325
gene-LOC100123691	NC_045757.1	2987606	2989693	-	2088
gene-TRNAP-CGG-2	NC_045757.1	2990776	2990847	+	72
gene-LOC100123695	NC_045757.1	2990987	2992400	+	1414
gene-LOC100678793	NC_045757.1	2992241	2994745	-	2505
gene-TRNAH-GUG	NC_045757.1	2995514	2995585	-	72
gene-TRNAH-GUG-2	NC_045757.1	2995712	2995783	-	72
gene-LOC100680001	NC_045757.1	2997164	2998095	-	932
gene-LOC100680428	NC_045757.1	3067190	3074690	+	7501
gene-LOC100123714	NC_045757.1	3074979	3086244	-	11266
gene-LOC100123717	NC_045757.1	3084711	3093949	+	9239
gene-LOC100123720	NC_045757.1	3094972	3098492	-	3521
gene-LOC100123724	NC_045757.1	3098563	3101995	+	3433
gene-LOC100116868	NC_045757.1	3106284	3157316	+	51033
gene-LOC100679105	NC_045757.1	3157438	3161042	-	3605
gene-LOC107981042	NC_045757.1	3160234	3162800	+	2567
gene-LOC100123726	NC_045757.1	3162765	3166586	-	3822
gene-LOC100123730	NC_045757.1	3167113	3177191	+	10079
gene-LOC100123732	NC_045757.1	3176511	3178564	-	2054
gene-LOC100123735	NC_045757.1	3178877	3181046	+	2170
gene-LOC100123739	NC_045757.1	3181192	3184630	+	3439
gene-LOC100123742	NC_045757.1	3184181	3187226	-	3046
gene-LOC100123745	NC_045757.1	3187080	3191327	-	4248
gene-LOC100123750	NC_045757.1	3197403	3201180	-	3778
gene-LOC100123753	NC_045757.1	3201304	3235642	+	34339
gene-LOC100123758	NC_045757.1	3237794	3239142	-	1349
gene-LOC100123761	NC_045757.1	3243502	3262936	-	19435
gene-LOC103315503	NC_045757.1	3251576	3253124	+	1549
gene-LOC100123769	NC_045757.1	3266580	3271053	-	4474
gene-LOC100123773	NC_045757.1	3270508	3273657	+	3150
gene-LOC100123778	NC_045757.1	3273723	3287510	+	13788
gene-LOC100123782	NC_045757.1	3287444	3300495	-	13052
gene-LOC103315505	NC_045757.1	3300634	3303132	-	2499
gene-LOC100123787	NC_045757.1	3303138	3305651	-	2514
gene-LOC100123789	NC_045757.1	3305854	3309934	-	4081
gene-LOC100123792	NC_045757.1	3312230	3320714	-	8485
gene-LOC100123795	NC_045757.1	3322530	3325559	-	3030
gene-LOC100116902	NC_045757.1	3325035	3328104	+	3070
gene-LOC100123798	NC_045757.1	3328110	3330112	-	2003
gene-LOC100123802	NC_045757.1	3329888	3332707	+	2820
gene-LOC100123805	NC_045757.1	3333390	3351310	-	17921
gene-Melk	NC_045757.1	3352026	3354675	-	2650
gene-LOC100680364	NC_045757.1	3354443	3355908	+	1466
gene-LOC100187594	NC_045757.1	3356171	3362033	-	5863
gene-LOC100123810	NC_045757.1	3361829	3372782	+	10954
gene-LOC103315508	NC_045757.1	3368595	3369539	-	945
gene-LOC100123813	NC_045757.1	3373028	3376967	-	3940
gene-LOC100123815	NC_045757.1	3380439	3384412	+	3974
gene-LOC103315532	NC_045757.1	3393224	3395330	-	2107
gene-LOC103315533	NC_045757.1	3395392	3397880	+	2489
